#Translation csv file
Manage user;Benutzer verwalten
You finished working at this article successfully.;Sie haben Ihre Arbeit an dem Artikel erfolgreich abgeschlossen.
Edit journal edition and create PDF;Journal bearbeiten und PDF erstellen
Create journal edition and the PDF;Journalausgabe und PDF erstellen
The article does not exist.;Der Artikel existiert nicht.
You already rated on this article.;Sie haben diesen Artikel bereits bewertet.
Your rating was submitted.;Ihre Bewertung wurde gespeichert.
Rating;Bewertung
You need to login to rate articles.;Sie müssen sich anmelden, um Artikel zu bewerten.
Author;Autor
It is too late, you can not review it anymore.;Es ist zu spät, Sie können den Artikel nicht mehr reviewen.
You were logged in successfully.;Sie haben sich erfolgreich angemeldet.
You were logged off successfully.;Sie haben sich erfolgreich abgemeldet.
